,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
231,137940256,,2125.0,1767.0,0.06,0.245,0.071,3.1830988618379066,0.281,1.0,1.0,cs,True,"[(554115.3760520001, 146717.328709), (554146.039, 146675.547)]",137936831,137939848
232,43922557,,2423.0,842.0,0.052,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554260.494381, 146544.248556), (554295.345, 146547.09900000002)]",52086123,42695559
233,43851526,,1209.0,842.0,0.005,3.5639,0.112,0.018421777081068968,0.05,1.0,1.0,cs,True,"[(554293.23, 146543.957), (554295.345, 146547.09900000002)]",42801395,42695559
234,43879828,,1489.0,859.0,0.001,1.3306,0.09,0.006900129764882415,0.093,1.0,1.0,cs,True,"[(554058.531, 146500.995), (554057.154, 146503.03)]",42699150,42691094
235,43922477,,2418.0,1093.0,0.037,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554260.494381, 146544.248556), (554229.448, 146548.174)]",52086083,42658465
236,43884534,,1429.0,1093.0,0.008,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554211.209, 146547.36800000002), (554229.448, 146548.174)]",42704170,42658465
237,43905152,,1727.0,1489.0,0.007,2.1181,0.094,0.00691136629719886,0.075,1.0,1.0,cs,True,"[(554061.255, 146496.968), (554058.531, 146500.995)]",42680373,42699150
238,43906836,,1468.0,1437.0,0.031,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554145.4839999999, 146582.351), (554121.064, 146581.80800000002)]",42681594,42784577
239,43905773,,1468.0,1291.0,0.009,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554145.4839999999, 146582.351), (554145.083, 146585.72699999998)]",42681594,42744012
240,43848246,,1468.0,1212.0,0.025,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554145.4839999999, 146582.351), (554168.922, 146581.441)]",42681594,42694243
241,43848988,,1066.0,1212.0,0.013,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554168.9, 146586.449), (554168.922, 146581.441)]",42758495,42694243
242,52043547,,2560.0,1974.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554167.0, 146531.0), (554169.90705, 146533.34663800002)]",42903959,52043545
243,52895684,,2571.0,1980.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554167.0, 146531.0), (554159.289014, 146532.998093)]",42909251,52895682
244,43906137,,1638.0,1105.0,0.011,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554301.129, 146581.024), (554301.039, 146583.032)]",42702361,42791520
245,43939285,,859.0,1179.0,0.009,4.71,0.12,0.02573240793725066,0.05,1.0,1.0,cs,True,"[(554057.154, 146503.03), (554053.315, 146508.84699999998)]",42691094,42744368
246,43939275,,866.0,1398.0,0.015,4.71,0.12,0.02573240793725066,0.05,1.0,1.0,cs,True,"[(554189.394, 146522.06900000002), (554181.011, 146527.726)]",42793444,42680387
247,43939202,,1076.0,1398.0,0.008,2.1181,0.105,0.01382273259439772,0.065,1.0,1.0,cs,True,"[(554179.845, 146530.021), (554181.011, 146527.726)]",42678134,42680387
248,52850980,,2553.0,2554.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554243.0, 146440.0), (554243.0, 146440.0)]",42975991,52850978
249,43965544,,2572.0,2554.0,0.106,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554228.0, 146529.0), (554243.0, 146440.0)]",52946242,52850978
250,43965546,,2562.0,613.0,0.01,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554228.0, 146529.0), (554212.701, 146529.22)]",52946266,42672499
251,43924651,,2420.0,613.0,0.096,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554260.494381, 146544.248556), (554212.701, 146529.22)]",52086099,42672499
